Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
east-midlands,East Midlands,east-midlands,,0,
eastern,Eastern,eastern,,1,
england,England,england,,2,
great-britain,Great Britain,great-britain,,3,
london,London,london,,4,
north-east,North East,north-east,,5,
north-west,North West,north-west,,6,
scotland,Scotland,scotland,,7,
south-east,South East,south-east,,8,
south-west,South West,south-west,,9,
wales,Wales,wales,,10,
west-midlands,West Midlands,west-midlands,,11,
yorkshire-and-humberside,Yorkshire and Humberside,yorkshire-and-humberside,,12,
